component,explained_variance,cumulative_variance
PC1,0.9516242308593369,0.9516242308593369
PC2,0.029682867175519784,0.9813070980348567
PC3,0.009750506097410438,0.9910576041322672
PC4,0.004709700653759399,0.9957673047860266
PC5,0.002311248253958717,0.9980785530399853
PC6,0.0005405900890264455,0.9986191431290117
PC7,0.0004720448192480537,0.9990911879482597
PC8,0.0002993891606866103,0.9993905771089463
PC9,0.00021792906347425423,0.9996085061724206
PC10,0.00011774679526249025,0.999726252967683
PC11,0.00011334548460126928,0.9998395984522843
PC12,6.05978892026051e-05,0.999900196341487
PC13,2.2990337685703485e-05,0.9999231866791727
PC14,1.861546056452908e-05,0.9999418021397372
PC15,1.3356914532815246e-05,0.99995515905427
PC16,1.0211712971705826e-05,0.9999653707672417
PC17,8.977412059510942e-06,0.9999743481793012
PC18,6.5351648978600855e-06,0.9999808833441991
PC19,3.913598865355533e-06,0.9999847969430644
PC20,3.4902347093001682e-06,0.9999882871777737
PC21,2.702999363558082e-06,0.9999909901771372
PC22,1.846217573952696e-06,0.9999928363947111
PC23,1.4607820806516418e-06,0.9999942971767918
PC24,9.404265483757799e-07,0.9999952376033402
PC25,8.505447491977016e-07,0.9999960881480894
PC26,6.805375010036007e-07,0.9999967686855904
PC27,5.534359381246747e-07,0.9999973221215285
PC28,3.962172390383722e-07,0.9999977183387675
PC29,3.6546216781718644e-07,0.9999980838009354
PC30,3.248998763909088e-07,0.9999984087008117
PC31,2.600553767360837e-07,0.9999986687561885
PC32,2.4664821472540143e-07,0.9999989154044032
PC33,1.7692657275955325e-07,0.999999092330976
PC34,1.46159496863957e-07,0.9999992384904728
PC35,1.224520889431934e-07,0.9999993609425617
PC36,1.0341343199747308e-07,0.9999994643559937
PC37,8.069331259477582e-08,0.9999995450493063
PC38,7.486187183405513e-08,0.9999996199111781
PC39,4.997306106655173e-08,0.9999996698842392
PC40,4.546335227252111e-08,0.9999997153475915
PC41,3.936833085415175e-08,0.9999997547159223
PC42,3.1694186206412306e-08,0.9999997864101084
PC43,2.8247805438570975e-08,0.9999998146579139
PC44,2.5410114834923328e-08,0.9999998400680287
PC45,2.1928970414579225e-08,0.9999998619969991
PC46,1.6784692145566317e-08,0.9999998787816913
PC47,1.5393401915363386e-08,0.9999998941750932
PC48,1.319277531406545e-08,0.9999999073678685
PC49,1.2082410736602283e-08,0.9999999194502792
PC50,1.0749968097595565e-08,0.9999999302002474
PC51,9.612525519393755e-09,0.9999999398127729
PC52,7.558901160991655e-09,0.9999999473716741
PC53,6.563829830572283e-09,0.9999999539355039
PC54,5.863801092091574e-09,0.999999959799305
PC55,4.880565026604976e-09,0.9999999646798701
PC56,4.488303835974644e-09,0.9999999691681739
PC57,4.307714293531938e-09,0.9999999734758882
PC58,3.740178259766572e-09,0.9999999772160665
PC59,3.1162804887237946e-09,0.9999999803323469
PC60,2.7951622761280303e-09,0.9999999831275093
PC61,2.0299764638628483e-09,0.9999999851574857
PC62,1.918305312631631e-09,0.999999987075791
PC63,1.397763206958089e-09,0.9999999884735542
PC64,1.3821084944890107e-09,0.9999999898556627
PC65,1.2345225960788307e-09,0.9999999910901853
PC66,1.0593188897692787e-09,0.9999999921495042
PC67,9.13755016812476e-10,0.9999999930632593
PC68,8.216357895762376e-10,0.999999993884895
PC69,7.28483867692515e-10,0.9999999946133789
PC70,6.533009041788749e-10,0.9999999952666797
PC71,5.668949833050065e-10,0.9999999958335747
PC72,4.791424283039347e-10,0.9999999963127171
PC73,4.137700199695787e-10,0.9999999967264871
PC74,4.0233202495486357e-10,0.9999999971288192
PC75,3.4201851674797137e-10,0.9999999974708377
PC76,2.9533182914139416e-10,0.9999999977661695
PC77,2.539885231758643e-10,0.999999998020158
PC78,2.4754680945309893e-10,0.9999999982677048
PC79,2.1043680083806898e-10,0.9999999984781416
PC80,1.821141498905059e-10,0.9999999986602557
PC81,1.7069274533563198e-10,0.9999999988309485
PC82,1.6074201193392174e-10,0.9999999989916905
PC83,1.3228051891162992e-10,0.999999999123971
PC84,9.247690197480586e-11,0.9999999992164479
PC85,9.102963092229975e-11,0.9999999993074775
PC86,8.01137509705027e-11,0.9999999993875913
PC87,7.738781465807487e-11,0.9999999994649791
PC88,7.229023379271876e-11,0.9999999995372694
PC89,4.948400182182119e-11,0.9999999995867533
PC90,4.533972513120667e-11,0.9999999996320931
